
*
*hpt
Name, HPV Address, PrintType, divisor, multiplier, coherent, help
State 4 Delay Tuner State Machine State,0xac3,16bits,0,0,No,,
State 4 Timbers Status Vector,0xad3,32bits,0,0,No,,
State 1 Drive Output,0xb00,16bits,0,0,No,Drive Output (16 bits) (Post Cal),
State 2 Drive Output,0xb01,16bits,0,0,No,Drive Output (16 bits) (Post Cal),
State 3 Drive Output,0xb02,16bits,0,0,No,Drive Output (16 bits) (Post Cal),
State 4 Drive Output,0xb03,16bits,0,0,No,Drive Output (16 bits) (Post Cal),
State 1 Drive Setpoint,0xb10,16bits,0,0,No,Drive Setpoint (16 bits),
State 2 Drive Setpoint,0xb11,16bits,0,0,No,Drive Setpoint (16 bits),
State 3 Drive Setpoint,0xb12,16bits,0,0,No,Drive Setpoint (16 bits),
State 4 Drive Setpoint,0xb13,16bits,0,0,No,Drive Setpoint (16 bits),
RF Cycles Ever,0x33,24bits,0,10,No,In Cycles,
AC Cycles Ever,0x34,24bits,0,10,No,In Cycles,
RF On Time Ever,0x35,24bits,0,60,No,In seconds,
AC On Time Ever,0x36,24bits,0,60,No,In seconds,
Status Vector,0x2c,32bits,0,0,No,Status Vector,
Traditional Fault Vector,0x2f,32bits,0,0,No,Traditional Fault Vector 0x2F,
Warning Vector 66,0x66,32bits,0,0,No,HPV 66 Warning Vector,
Fault Vector 65,0x65,32bits,0,0,No,HPV 65 Fault Vector,
DSP HW Fault 0,0x1a0,32bits,0,0,No,DSP HW Fault 0,
DSP HW Fault 1,0x1a1,32bits,0,0,No,DSP HW Fault 1,
DSP HW Fault 2,0x1a2,32bits,0,0,No,DSP HW Fault 2,
DSP HW Fault 3,0x1a3,32bits,0,0,No,DSP HW Fault 3,
DSP HW Fault 4,0x1a4,32bits,0,0,No,DSP HW Fault 4,
DSP SW Fault 0,0x1a5,32bits,0,0,No,DSP SW Fault 0,
ORK Fault 0,0x1a6,32bits,0,0,No,ORK Fault 0,
DSP HW Warning 0,0x1b0,32bits,0,0,No,DSP HW Warning 0,
DSP HW Warning 1,0x1b1,32bits,0,0,No,DSP HW Warning 1,
DSP HW Warning 2,0x1b2,32bits,0,0,No,DSP HW Warning 2,
DSP HW Warning 3,0x1b3,32bits,0,0,No,DSP HW Warning 3,
DSP SW Warning 0,0x1b4,32bits,0,0,No,DSP SW Warning 0,
ORK Warning 0,0x1b5,32bits,0,0,No,ORK Warning 0,
*
